"Time","Position","Velocity","Acceleration"
0.05,0.262,0.170,-1.445
0.10,0.274,0.092,-1.229
0.15,0.273,0.024,-0.800
0.20,0.273,0.006,-0.288
0.25,0.273,0.006,0.011
0.30,0.273,0.022,-0.005
0.35,0.276,0.017,-0.235
0.40,0.276,-0.014,-0.244
0.45,0.274,-0.021,-0.005
0.50,0.273,-0.007,0.123
0.55,0.273,0.000,0.082
0.60,0.274,0.001,0.014
0.65,0.274,-0.001,-0.038
0.70,0.273,0.000,-0.207
0.75,0.274,-0.008,-0.741
0.80,0.273,-0.045,-1.841
0.85,0.273,-0.173,-3.128
0.90,0.262,-0.411,-3.137
0.95,0.230,-0.592,-0.846
1.00,0.195,-0.585,3.302
1.05,0.158,-0.265,7.231
1.10,0.157,0.272,8.011
1.15,0.185,0.772,4.023
1.20,0.258,0.799,-2.264
1.25,0.289,0.349,-4.948
1.30,0.281,0.079,-3.232
1.35,0.284,0.046,-1.305
1.40,0.287,0.025,-0.595
1.45,0.287,0.002,-0.386
1.50,0.287,-0.021,-0.178
1.55,0.284,-0.023,0.130
1.60,0.284,-0.001,0.300
1.65,0.284,0.022,0.185
1.70,0.287,0.024,-0.071
1.75,0.287,0.006,-0.184
1.80,0.287,0.000,-0.189
1.85,0.287,-0.007,-0.239
1.90,0.287,-0.029,-0.169
1.95,0.284,-0.040,0.154
2.00,0.281,-0.008,0.355
2.05,0.284,0.017,0.174
2.10,0.284,0.009,-0.009
2.15,0.284,0.004,0.014
2.20,0.284,0.007,0.098
2.25,0.284,0.021,0.070
2.30,0.287,0.020,-0.074
2.35,0.287,0.008,-0.138
2.40,0.287,0.003,-0.131
2.45,0.287,-0.004,-0.125
2.50,0.287,-0.009,-0.111
2.55,0.287,-0.021,0.008
2.60,0.284,-0.015,0.226
2.65,0.284,0.015,0.196
2.70,0.287,0.019,-0.094
2.75,0.288,-0.008,-0.169
2.80,0.285,-0.007,-0.064
2.85,0.287,-0.008,-0.027
2.90,0.284,-0.014,0.070
2.95,0.284,-0.001,0.141
3.00,0.284,0.012,0.036
3.05,0.287,0.001,-0.032
3.10,0.284,-0.009,0.174
3.15,0.284,0.022,0.308
3.20,0.287,0.043,0.078
3.25,0.290,0.030,-0.186
3.30,0.290,0.012,-0.244
3.35,0.291,0.003,-0.217
3.40,0.291,-0.006,-0.210
3.45,0.290,-0.023,-0.106
3.50,0.288,-0.023,0.104
3.55,0.287,-0.006,0.205
3.60,0.287,0.002,0.191
3.65,0.287,0.016,0.086
3.70,0.290,0.016,-0.111
3.75,0.290,0.001,-0.211
3.80,0.290,-0.015,-0.128
3.85,0.287,-0.017,0.060
3.90,0.287,-0.004,0.158
3.95,0.287,0.004,0.139
4.00,0.288,0.014,0.036
4.05,0.290,0.005,-0.029
4.10,0.288,0.005,0.016
4.15,0.290,0.013,-0.044
4.20,0.290,0.003,-0.139
4.25,0.290,-0.005,-0.154
4.30,0.290,-0.017,-0.068
4.35,0.288,-0.017,0.122
4.40,0.287,-0.001,0.225
4.45,0.287,0.017,0.108
4.50,0.290,0.016,-0.127
4.55,0.290,-0.001,-0.267
4.60,0.290,-0.020,-0.226
4.65,0.287,-0.027,-0.116
4.70,0.287,-0.029,-0.046
4.75,0.284,-0.029,-0.021
4.80,0.284,-0.033,0.035
4.85,0.281,-0.029,0.157
4.90,0.281,-0.012,0.183
4.95,0.280,-0.006,0.131
5.00,0.280,-0.002,0.100
