"Time","Position","Velocity","Acceleration"
0.05,0.206,-0.019,-0.164
0.10,0.206,-0.028,-0.153
0.15,0.202,-0.034,-0.095
0.20,0.202,-0.032,-0.097
0.25,0.202,-0.073,0.341
0.30,0.188,0.000,0.718
0.35,0.202,0.064,0.022
0.40,0.203,0.002,-0.679
0.45,0.203,-0.070,-0.328
0.50,0.188,-0.020,-0.046
0.55,0.205,-0.034,-0.362
0.60,0.188,-0.099,-0.056
0.65,0.187,-0.035,0.075
0.70,0.187,-0.039,-0.561
0.75,0.187,-0.102,-0.768
0.80,0.181,-0.217,0.932
0.85,0.154,-0.084,3.811
0.90,0.161,0.261,4.618
0.95,0.180,0.571,1.765
1.00,0.239,0.497,-2.248
1.05,0.242,0.175,-3.228
1.10,0.243,0.065,-1.954
1.15,0.246,0.021,-1.011
1.20,0.246,-0.015,-0.437
1.25,0.243,-0.022,-0.041
1.30,0.243,-0.008,0.114
1.35,0.243,-0.003,0.112
1.40,0.243,0.002,0.096
1.45,0.243,0.005,0.084
1.50,0.243,0.016,-0.014
1.55,0.246,0.003,-0.091
1.60,0.243,-0.007,0.051
1.65,0.243,0.016,0.053
1.70,0.246,0.014,-0.199
1.75,0.246,-0.016,-0.231
1.80,0.243,-0.024,-0.003
1.85,0.242,-0.010,0.133
1.90,0.242,-0.002,0.108
1.95,0.243,0.001,0.054
2.00,0.243,0.001,0.046
2.05,0.243,0.003,0.083
2.10,0.243,0.009,0.105
2.15,0.243,0.022,-0.016
2.20,0.246,0.016,-0.260
2.25,0.246,-0.018,-0.257
2.30,0.243,-0.024,0.000
2.35,0.243,-0.010,0.134
2.40,0.242,-0.002,0.109
2.45,0.243,0.001,0.054
2.50,0.242,0.002,0.014
2.55,0.243,0.002,-0.010
2.60,0.243,0.001,-0.030
2.65,0.243,-0.002,-0.026
2.70,0.242,-0.003,-0.001
2.75,0.243,-0.001,0.005
2.80,0.243,-0.002,0.002
2.85,0.242,-0.002,0.008
2.90,0.242,0.000,0.003
2.95,0.242,-0.001,0.005
3.00,0.242,-0.001,0.019
3.05,0.242,0.001,0.015
3.10,0.242,0.002,0.000
3.15,0.243,0.001,-0.005
3.20,0.242,0.000,0.002
3.25,0.242,0.002,-0.002
3.30,0.243,0.001,-0.024
3.35,0.243,-0.002,-0.022
3.40,0.242,-0.003,0.012
3.45,0.242,0.000,0.031
3.50,0.242,0.002,0.019
3.55,0.242,0.002,-0.002
3.60,0.243,0.001,-0.017
3.65,0.243,0.000,-0.014
3.70,0.243,-0.001,0.003
3.75,0.243,0.000,0.015
3.80,0.243,0.002,0.009
3.85,0.243,0.001,0.001
3.90,0.243,0.002,-0.004
3.95,0.243,0.002,-0.022
4.00,0.243,-0.001,-0.011
4.05,0.243,-0.003,0.076
4.10,0.242,0.003,0.200
4.15,0.242,0.025,0.159
4.20,0.246,0.029,-0.071
4.25,0.246,0.012,-0.197
4.30,0.247,0.000,-0.148
4.35,0.246,-0.004,-0.073
4.40,0.246,-0.003,-0.053
4.45,0.246,-0.006,-0.088
4.50,0.246,-0.018,-0.029
4.55,0.243,-0.008,0.028
4.60,0.246,-0.008,-0.022
4.65,0.243,-0.019,0.068
4.70,0.242,-0.004,0.178
4.75,0.243,0.006,0.170
4.80,0.243,0.020,0.051
4.85,0.246,0.008,-0.035
4.90,0.243,0.008,0.023
4.95,0.246,0.017,-0.019
5.00,0.246,0.007,-0.107
