"Time","Position","Velocity","Acceleration"
0.05,0.185,0.296,-2.425
0.10,0.205,0.166,-2.092
0.15,0.205,0.051,-1.439
0.20,0.206,0.016,-0.685
0.25,0.206,0.002,-0.252
0.30,0.206,0.001,-0.062
0.35,0.206,0.001,-0.015
0.40,0.206,0.000,-0.008
0.45,0.206,0.000,-0.010
0.50,0.206,-0.001,0.002
0.55,0.206,-0.001,0.048
0.60,0.206,0.003,0.102
0.65,0.206,0.009,0.143
0.70,0.206,0.023,0.081
0.75,0.209,0.023,-0.082
0.80,0.209,0.008,-0.133
0.85,0.209,0.004,-0.086
0.90,0.209,0.002,-0.109
0.95,0.210,0.000,-0.324
1.00,0.210,-0.013,-0.871
1.05,0.210,-0.075,-1.409
1.10,0.206,-0.197,-0.791
1.15,0.192,-0.287,1.964
1.20,0.155,-0.016,4.647
1.25,0.177,0.486,2.079
1.30,0.251,0.209,-1.101
1.35,0.184,0.114,-0.110
1.40,0.243,0.314,-0.692
1.45,0.242,0.090,-1.731
1.50,0.242,0.029,-1.044
1.55,0.242,0.000,-0.496
1.60,0.242,-0.001,-0.148
1.65,0.242,-0.006,-0.069
1.70,0.242,-0.014,0.062
1.75,0.239,0.001,0.161
1.80,0.242,0.014,0.051
1.85,0.242,0.005,-0.057
1.90,0.242,0.003,-0.079
1.95,0.242,-0.002,-0.089
2.00,0.242,-0.007,-0.063
2.05,0.242,-0.015,0.074
2.10,0.239,0.001,0.189
2.15,0.242,0.017,0.060
2.20,0.242,0.008,-0.096
2.25,0.243,0.001,-0.136
2.30,0.242,-0.006,-0.140
2.35,0.242,-0.020,-0.007
2.40,0.239,-0.007,0.133
2.45,0.242,0.001,0.137
2.50,0.239,0.006,0.118
2.55,0.242,0.018,-0.006
2.60,0.242,0.006,-0.134
2.65,0.242,-0.002,-0.156
2.70,0.242,-0.009,-0.159
2.75,0.242,-0.022,-0.070
2.80,0.239,-0.022,0.122
2.85,0.239,-0.005,0.229
2.90,0.239,0.006,0.222
2.95,0.239,0.022,0.114
3.00,0.242,0.022,-0.070
3.05,0.242,0.008,-0.140
3.10,0.242,0.003,-0.115
3.15,0.242,-0.002,-0.088
3.20,0.242,-0.005,-0.069
3.25,0.242,-0.015,0.054
3.30,0.239,0.000,0.173
3.35,0.242,0.015,0.059
3.40,0.242,0.006,-0.059
3.45,0.242,0.002,-0.059
3.50,0.242,0.000,-0.038
3.55,0.242,-0.002,-0.010
3.60,0.242,-0.001,0.008
3.65,0.242,0.000,0.003
3.70,0.242,-0.001,-0.002
3.75,0.242,0.000,-0.007
3.80,0.242,-0.001,-0.031
3.85,0.242,-0.003,-0.044
3.90,0.242,-0.005,-0.041
3.95,0.242,-0.013,0.057
4.00,0.239,0.001,0.123
4.05,0.242,0.013,-0.049
4.10,0.242,-0.004,-0.215
4.15,0.242,-0.023,-0.122
4.20,0.239,-0.022,0.088
4.25,0.239,-0.005,0.146
4.30,0.239,0.000,0.068
4.35,0.239,-0.001,0.011
4.40,0.239,-0.002,0.006
4.45,0.239,0.000,0.016
4.50,0.239,0.000,0.010
4.55,0.239,0.001,-0.010
4.60,0.239,-0.001,-0.021
4.65,0.239,-0.002,0.004
4.70,0.239,-0.001,0.048
4.75,0.239,0.003,0.072
4.80,0.239,0.007,0.052
4.85,0.239,0.015,-0.074
4.90,0.242,-0.001,-0.182
4.95,0.239,-0.015,-0.109
5.00,0.239,-0.009,0.000
